Id(0) | Название(1) | Тип(2) | Сечение/Ячейка(3) | Диаметр(4) | Высота листа, рулона/длина хлыста C(5) | Высота листа, рулона/длина хлыста Т(6)| Ширина листа/длина рулона С(7) | Ширина листа/длина рулона Т(8) | Толщина(9) | Цвет/Покрытие(10) | Цена С(11) | Цена Т(12) | Наличие С(13) | Наличие Т(14) | Примечание(15)

Покрытие:
П-ADPБ2; Панель заборная; ; 200х50; ; 550.0; 550.0; ; 2500.0; 4.0/ 4.0; зеленый 6005; 1040.0; ; 1; 1; ;
П-BM3Б2; Панель заборная; ; 200х55; ; 1030.0; 1030.0; ; 2500.0; 3.5/ 3.5; зеленый 6005; 1500.0; 1500.0; 1; 1; ;
П-AQ4Б2; Панель заборная; ; 200х55; ; 1030.0; 1030.0; ; 2500.0; 4.0/ 4.0; зеленый 6005; ; 1220.0; 1; 1; ;
П-ALRГЛВ; Панель заборная; ; 200х55; ; 1530.0; 1530.0; ; 2500.0; 3.5/ 3.5; зеленый 6005; 1900.0; 1900.0; 1; 1; ;
П-ALSГЛВ; Панель заборная; ; 200х55; ; 1730.0; 1730.0; ; 2500.0; 3.5/ 3.5; зеленый 6005; 2100.0; 2100.0; 1; 1; ;
П-AQ2Б2; Панель заборная; ; 200х55; ; 2030.0; 2030.0; ; 2500.0; 3.3/ 3.3; неокрашенные; 2400.0; 2400.0; 1; 1; ;
П-BEAГЛВ; Панель заборная; ; 235х60; ; 2030.0; 2030.0; ; 2500.0; 3.2/ 3.2; зеленый 6005; 1810.0; 1810.0; 1; 1; ;
П-AQ3Б2; Панель заборная; ; 200х55; ; 2030.0; 2030.0; ; 2500.0; 3.5/ 3.5; зеленый 6005; 2500.0; 2500.0; 1; 1; ;
П-BBYБ2; Панель заборная; ; 200х55; ; 2030.0; 2030.0; ; 2500.0; 3.5/ 3.5; шоколад 8017; 2500.0; 2500.0; 1; 1; ;

Столбы:
Ст-A7SГЛВ; Столб; круглый; ; 48.0; 2.0; 2.0; ; ; 2.5-3.5; ; 500.0; 500.0; 1; 1; ;
Ст-A3XГЛВ; Столб; круглый; ; 57.0; 2.0; 2.0; ; ; 3.0-3.5; ; 600.0; 600.0; 1; 1; ;
Ст-4MQГЛВ; Столб; круглый; ; 60.0; 2.0; 2.0; ; ; 5.0; ; ; 780.0; 1; 1; ;
Ст-AU6Б2; Столб; профильный; 40х40; ; 2.0; 2.0; ; ; 1.5; ; 330.0; 330.0; 1; 1; ;
